MADON,MAMH,GIA,TRONGLUONG,TONGTIEN,SOLUONGDAT,KENHBANHANG,QUY,THUTRONGTUAN,BANG,LOAICUAHANG,MACUAHANG,LOG_GIA,LOG_TRONGLUONG,CLUSTER
10264,5506,49.9,200,64.9,1,Tai cua hang,3,Saturday,SP,Vat ly,7,3.929862923556477,5.303304908059076,1
10265,17657,88.0,2100,88.0,1,Truc tuyen,4,Sunday,RJ,Truc tuyen,OL_16,4.48863636973214,7.650168700845001,3
10266,17751,82.99,550,82.99,1,Tai cua hang,2,Wednesday,PA,Vat ly,23,4.430697744137536,6.311734809152915,3
10267,9620,145.0,650,145.0,1,Tai cua hang,1,Saturday,SP,Vat ly,5,4.983606621708336,6.478509642208569,0
10268,15724,14.99,150,14.99,1,Truc tuyen,2,Saturday,SP,Truc tuyen,OL_25,2.771963526845863,5.017279836814924,1
10269,3383,115.0,3500,120.0,1,Truc tuyen,2,Thursday,RJ,Truc tuyen,OL_21,4.7535901911063645,8.160803920954665,2
1027,18163,88.0,167,89.9,1,Truc tuyen,1,Thursday,SP,Truc tuyen,OL_28,4.48863636973214,5.123963979403259,0
10270,5967,14.99,200,14.99,1,Tai cua hang,4,Sunday,SP,Vat ly,18,2.771963526845863,5.303304908059076,1
10271,16007,594.9,3097,589.9,1,Tai cua hang,2,Thursday,SP,Vat ly,18,6.3900728677529335,8.038512020976814,2
10272,13679,12.25,175,12.25,1,Tai cua hang,1,Sunday,MG,Vat ly,15,2.583997552432231,5.170483995038151,1
10273,9718,418.0,875,418.0,1,Truc tuyen,3,Tuesday,SC,Truc tuyen,OL_8,6.037870919922137,6.775366090936392,0
10274,12915,319.0,5825,319.0,1,Tai cua hang,4,Monday,SP,Vat ly,24,5.768320995793772,8.67008593751938,2
10275,10983,69.0,5500,59.0,1,Truc tuyen,2,Tuesday,RJ,Truc tuyen,OL_21,4.248495242049359,8.612685172875459,2
10276,18843,49.0,600,49.0,1,Tai cua hang,2,Monday,SP,Vat ly,100,3.912023005428146,6.398594934535208,3
10277,20010,54.9,1350,59.9,1,Truc tuyen,1,Sunday,MG,Truc tuyen,OL_3,4.023564380161053,7.208600337960199,3
10278,10920,105.18,250,105.18,1,Tai cua hang,4,Sunday,SP,Vat ly,55,4.665135767155525,5.5254529391317835,0
10279,2617,30.0,200,30.0,1,Tai cua hang,2,Thursday,DF,Vat ly,1,3.4339872044851463,5.303304908059076,1
1028,2915,97.4,300,94.9,1,Tai cua hang,4,Saturday,RS,Vat ly,13,4.589040804058207,5.707110264748875,0
10280,10330,24.0,150,24.0,1,Tai cua hang,2,Sunday,RJ,Vat ly,8,3.2188758248682006,5.017279836814924,1
10281,60,9.9,550,9.9,1,Tai cua hang,3,Wednesday,MG,Vat ly,37,2.388762789235098,6.311734809152915,1
10282,656,99.0,9000,89.0,1,Tai cua hang,2,Thursday,GO,Vat ly,54,4.605170185988092,9.105090961257085,2
10283,9644,39.0,250,39.0,1,Tai cua hang,3,Sunday,BA,Vat ly,50,3.6888794541139363,5.5254529391317835,1
10284,16975,25.9,150,25.9,1,Tai cua hang,3,Saturday,PE,Vat ly,42,3.292126286607793,5.017279836814924,1
10285,17219,26.99,300,26.99,1,Truc tuyen,2,Sunday,RJ,Truc tuyen,OL_21,3.331847303527362,5.707110264748875,1
10285,17808,29.0,500,29.0,1,Truc tuyen,2,Sunday,RJ,Truc tuyen,OL_21,3.4011973816621555,6.2166061010848646,1
10286,6471,53.4,1200,53.4,1,Tai cua hang,1,Sunday,SP,Vat ly,82,3.996364153861897,7.0909098220799835,3
10287,19496,151.74,400,151.74,1,Tai cua hang,4,Friday,SC,Vat ly,59,5.0287371294602385,5.993961427306569,0
10288,8160,899.99,500,899.99,1,Tai cua hang,2,Saturday,RJ,Vat ly,29,6.803494158767612,6.2166061010848646,0
10289,3200,59.9,500,59.9,1,Tai cua hang,3,Tuesday,SP,Vat ly,12,4.109233174715851,6.2166061010848646,3
1029,6325,84.58,1550,84.58,1,Truc tuyen,2,Tuesday,SP,Truc tuyen,OL_13,4.449451610988671,7.346655163176539,3
10290,112,23.49,100,23.49,1,Tai cua hang,4,Wednesday,SP,Vat ly,91,3.1982648709640764,4.61512051684126,1
10291,10827,49.9,600,49.9,1,Tai cua hang,2,Saturday,SP,Vat ly,14,3.929862923556477,6.398594934535208,3
10292,11059,79.9,150,79.9,1,Tai cua hang,2,Saturday,SP,Vat ly,80,4.393213824064446,5.017279836814924,0
10293,10210,119.5,150,119.5,1,Tai cua hang,1,Saturday,MG,Vat ly,15,4.791649752930709,5.017279836814924,0
10294,11140,28.9,600,28.9,1,Tai cua hang,1,Saturday,SP,Vat ly,11,3.3978584803966405,6.398594934535208,1
10295,17712,29.9,450,29.99,1,Tai cua hang,2,Saturday,SP,Vat ly,34,3.4307561839036995,6.111467339502679,1
10296,19776,99.99,975,98.9,1,Tai cua hang,3,Thursday,MG,Vat ly,96,4.6150215020384655,6.883462586413092,3
10297,6564,69.0,350,69.0,1,Tai cua hang,3,Thursday,SP,Vat ly,14,4.248495242049359,5.860786223465865,0
10298,4888,24.95,500,24.95,1,Tai cua hang,2,Sunday,PE,Vat ly,42,3.2561716096118976,6.2166061010848646,1
10299,1821,29.0,83,87.0,3,Tai cua hang,2,Sunday,SP,Vat ly,32,3.4011973816621555,4.430816798843313,1
103,19047,133.74,548,133.74,1,Tai cua hang,4,Friday,SP,Vat ly,21,4.903346995532514,6.3080984415095305,0
1030,4916,229.9,3100,229.9,1,Truc tuyen,1,Thursday,SP,Truc tuyen,OL_28,5.44198471636045,8.03947991910045,2
10300,20224,171.9,8050,163.9,1,Truc tuyen,1,Saturday,SP,Truc tuyen,OL_17,5.152713392689245,8.993551586299981,2
10301,5202,76.89,300,76.89,1,Tai cua hang,4,Tuesday,SC,Vat ly,57,4.355297574931857,5.707110264748875,0
10302,1913,390.0,23500,390.0,1,Truc tuyen,1,Thursday,ES,Truc tuyen,OL_30,5.968707559985366,10.064798252418377,2
10303,15821,49.0,350,49.0,1,Truc tuyen,2,Sunday,SP,Truc tuyen,OL_5,3.912023005428146,5.860786223465865,1
10304,11068,239.9,1260,239.9,1,Tai cua hang,3,Monday,RS,Vat ly,10,5.484381909620826,7.13966033596492,0
10305,3723,170.0,850,170.0,1,Tai cua hang,1,Sunday,SP,Vat ly,17,5.14166355650266,6.7464121285733745,0
10306,12978,35.0,650,98.97,3,Tai cua hang,4,Sunday,SP,Vat ly,100,3.58351893845611,6.478509642208569,1
10307,2943,26.9,200,26.9,1,Tai cua hang,4,Tuesday,PA,Vat ly,23,3.32862668882732,5.303304908059076,1
10308,2668,7.0,150,7.0,1,Tai cua hang,3,Sunday,PE,Vat ly,48,2.0794415416798357,5.017279836814924,1
10309,9918,37.0,200,37.0,1,Tai cua hang,1,Wednesday,MG,Vat ly,86,3.6375861597263857,5.303304908059076,1
1031,3349,199.99,100,199.99,1,Tai cua hang,4,Saturday,SP,Vat ly,22,5.30325515557766,4.61512051684126,0
10310,4151,89.99,1200,89.99,1,Tai cua hang,2,Saturday,SP,Vat ly,58,4.5107496103686,7.0909098220799835,3
10311,3416,198.9,11200,198.9,1,Truc tuyen,2,Monday,SP,Truc tuyen,OL_28,5.297817241506355,9.32375833901174,2
10312,11901,23.4,300,23.4,1,Tai cua hang,4,Saturday,GO,Vat ly,35,3.1945831322991562,5.707110264748875,1
10313,18724,50.0,6600,50.0,1,Truc tuyen,3,Saturday,MG,Truc tuyen,OL_3,3.9318256327243257,8.79497643168877,3
10314,9038,49.9,550,49.9,1,Tai cua hang,1,Sunday,CE,Vat ly,97,3.929862923556477,6.311734809152915,3
10315,10034,69.9,100,69.9,1,Truc tuyen,1,Sunday,RJ,Truc tuyen,OL_21,4.2612704335380815,4.61512051684126,1
10316,7901,82.5,300,89.0,1,Tai cua hang,3,Sunday,SP,Vat ly,17,4.42484663185681,5.707110264748875,0
10317,12723,34.5,100,34.5,1,Tai cua hang,3,Tuesday,SC,Vat ly,57,3.56953269648137,4.61512051684126,1
10318,4913,14.9,500,14.9,1,Tai cua hang,3,Sunday,MG,Vat ly,37,2.766319109226186,6.2166061010848646,1
10319,8403,79.9,1000,79.9,1,Truc tuyen,2,Thursday,MG,Truc tuyen,OL_3,4.393213824064446,6.90875477931522,3
1032,13033,5.2,50,5.2,1,Tai cua hang,1,Sunday,SP,Vat ly,25,1.824549292051046,3.9318256327243257,1
10320,13302,108.0,1000,105.0,1,Tai cua hang,2,Sunday,RJ,Vat ly,8,4.6913478822291435,6.90875477931522,3
10321,4386,53.9,1650,49.9,1,Truc tuyen,3,Saturday,SP,Truc tuyen,OL_24,4.005513348515485,7.409136443920128,3
10322,8404,14.49,300,14.49,1,Truc tuyen,3,Monday,SP,Truc tuyen,OL_23,2.740194654428777,5.707110264748875,1
10323,20049,39.99,250,39.99,1,Truc tuyen,3,Saturday,SP,Truc tuyen,OL_28,3.7133281345162463,5.5254529391317835,1
10324,6742,159.9,200,159.9,1,Tai cua hang,1,Saturday,SP,Vat ly,43,5.080783053998338,5.303304908059076,0
10325,14170,79.99,500,79.99,1,Tai cua hang,2,Monday,SP,Vat ly,66,4.3943256902608985,6.2166061010848646,3
10326,10073,19.9,167,19.9,1,Tai cua hang,4,Saturday,SP,Vat ly,11,3.039749158970765,5.123963979403259,1
10327,19933,99.0,6950,99.0,1,Truc tuyen,3,Sunday,SP,Truc tuyen,OL_28,4.605170185988092,8.846640813100485,2
10328,3662,557.0,550,667.0,1,Truc tuyen,4,Wednesday,GO,Truc tuyen,OL_10,6.324358962381311,6.311734809152915,0
10329,1945,99.0,7600,99.0,1,Truc tuyen,3,Sunday,SP,Truc tuyen,OL_28,4.605170185988092,8.936035096566041,2
1033,19203,269.45,2638,269.45,1,Tai cua hang,2,Monday,SP,Vat ly,66,5.600087238317436,7.878155336503324,2
10330,16505,16.9,345,16.9,1,Tai cua hang,1,Monday,SP,Vat ly,91,2.884800712846709,5.846438775057725,1
10331,9966,169.9,2600,169.9,1,Tai cua hang,3,Thursday,SP,Vat ly,14,5.141078590121546,7.8636512654486515,2
10332,6849,39.99,700,39.99,1,Tai cua hang,1,Saturday,SP,Vat ly,38,3.7133281345162463,6.55250788703459,3
10333,4295,209.0,3900,209.0,1,Truc tuyen,1,Saturday,SP,Truc tuyen,OL_28,5.3471075307174685,8.268988209506656,2
10334,9982,35.99,575,35.99,1,Truc tuyen,4,Monday,SP,Truc tuyen,OL_28,3.610647605844363,6.3561076606958915,1
10335,10377,19.99,100,19.99,1,Tai cua hang,4,Saturday,SP,Vat ly,21,3.0440461338325417,4.61512051684126,1
10336,10956,34.0,3575,34.0,1,Truc tuyen,2,Sunday,SP,Truc tuyen,OL_28,3.5553480614894135,8.182000136293405,3
10337,2371,49.99,275,49.99,1,Tai cua hang,1,Tuesday,SP,Vat ly,95,3.9316295350670645,5.62040086571715,1
10338,9263,65.0,250,65.0,1,Tai cua hang,3,Thursday,SP,Vat ly,25,4.189654742026425,5.5254529391317835,1
10339,10783,28.9,150,57.8,2,Tai cua hang,1,Sunday,BA,Vat ly,50,3.3978584803966405,5.017279836814924,1
1034,10941,539.0,2500,1078.0,2,Tai cua hang,2,Thursday,SP,Vat ly,55,6.29156913955832,7.824445930877619,2
10340,15257,19.9,200,19.9,1,Tai cua hang,3,Sunday,SC,Vat ly,57,3.039749158970765,5.303304908059076,1
10340,847,24.5,150,19.9,1,Tai cua hang,3,Sunday,BA,Vat ly,50,3.2386784521643803,5.017279836814924,1
10341,13259,14.9,200,14.9,1,Truc tuyen,2,Monday,DF,Truc tuyen,OL_4,2.766319109226186,5.303304908059076,1
10342,1874,83.2,30000,83.2,1,Truc tuyen,1,Thursday,SP,Truc tuyen,OL_28,4.4331949212482815,10.308985993422082,2
10342,18751,83.2,2010,83.2,1,Truc tuyen,1,Thursday,SP,Truc tuyen,OL_28,4.4331949212482815,7.606387389772652,3
10343,1007,109.0,9350,100.0,1,Truc tuyen,4,Tuesday,SP,Truc tuyen,OL_28,4.700480365792417,9.143238568435446,2
10344,13035,37.5,1250,37.5,1,Tai cua hang,3,Tuesday,CE,Vat ly,97,3.6506582412937387,7.1316985104669115,3
10345,12873,230.0,12000,228.0,1,Truc tuyen,3,Wednesday,SP,Truc tuyen,OL_25,5.442417710521793,9.392745258631441,2
10346,6924,82.99,1450,82.99,1,Tai cua hang,4,Sunday,SC,Vat ly,57,4.430697744137536,7.280008252884188,3
10347,11931,143.99,1450,143.99,1,Truc tuyen,3,Friday,RJ,Truc tuyen,OL_21,4.976664774525102,7.280008252884188,3
10348,14877,19.9,9900,79.6,4,Tai cua hang,2,Monday,SP,Vat ly,100,3.039749158970765,9.200391041122515,3
10349,18513,170.0,700,199.0,1,Tai cua hang,3,Sunday,GO,Vat ly,35,5.14166355650266,6.55250788703459,0
1035,14156,29.99,550,119.96,4,Truc tuyen,3,Saturday,RS,Truc tuyen,OL_18,3.433664571799657,6.311734809152915,1
10350,12685,161.42,9850,161.42,1,Tai cua hang,2,Tuesday,SP,Vat ly,85,5.090185572854264,9.19532825185568,2
10351,15485,179.9,11950,179.9,1,Tai cua hang,2,Thursday,SP,Vat ly,65,5.19794439240125,9.388570235866881,2
10352,15885,198.9,3050,198.9,1,Tai cua hang,4,Monday,DF,Vat ly,83,5.297817241506355,8.02322468471667,2
10352,7413,233.35,3000,233.35,1,Tai cua hang,4,Monday,SP,Vat ly,66,5.456815724368715,8.006700845440367,2
10353,13302,108.0,1000,1296.0,12,Tai cua hang,1,Thursday,RS,Vat ly,13,4.6913478822291435,6.90875477931522,3
10354,9285,85.0,1700,75.0,1,Tai cua hang,1,Sunday,SP,Vat ly,7,4.454347296253507,7.438971592395862,3
10355,15618,59.9,817,59.9,1,Tai cua hang,3,Thursday,PE,Vat ly,48,4.109233174715851,6.706862336602747,3
10356,19121,29.9,450,29.9,1,Tai cua hang,2,Sunday,BA,Vat ly,40,3.4307561839036995,6.111467339502679,1
10357,11801,46.4,550,46.4,1,Tai cua hang,2,Sunday,BA,Vat ly,33,3.858622228701031,6.311734809152915,3
10358,8115,16.9,200,16.9,1,Tai cua hang,1,Saturday,SP,Vat ly,75,2.884800712846709,5.303304908059076,1
10358,8424,16.9,250,16.9,1,Tai cua hang,1,Saturday,SP,Vat ly,30,2.884800712846709,5.5254529391317835,1
10359,7122,119.9,1150,119.9,1,Tai cua hang,4,Friday,DF,Vat ly,27,4.794963757620747,7.048386408721883,3
1036,7979,119.9,1750,109.9,1,Tai cua hang,2,Sunday,SP,Vat ly,62,4.794963757620747,7.467942332285852,3
10360,6427,118.99,143,118.99,1,Tai cua hang,4,Saturday,SP,Vat ly,22,4.787408405976297,4.969813299576001,0
10361,15174,199.95,525,220.01,1,Tai cua hang,4,Sunday,SP,Vat ly,4,5.30305612089521,6.26530121273771,0
10362,1793,27.9,50,29.99,1,Tai cua hang,3,Sunday,SC,Vat ly,69,3.3638415951183864,3.9318256327243257,1
10363,11257,49.0,250,49.0,1,Tai cua hang,2,Monday,SP,Vat ly,16,3.912023005428146,5.5254529391317835,1
10364,1067,150.0,300,150.0,1,Tai cua hang,4,Friday,SP,Vat ly,58,5.017279836814924,5.707110264748875,0
10365,11026,332.4,375,314.9,1,Truc tuyen,3,Sunday,SP,Truc tuyen,OL_5,5.809342970316694,5.929589143389895,0
10366,6952,18.0,400,16.0,1,Tai cua hang,1,Saturday,SP,Vat ly,46,2.9444389791664403,5.993961427306569,1
10367,18330,79.9,180,152.5,2,Tai cua hang,1,Sunday,BA,Vat ly,33,4.393213824064446,5.198497031265826,0
10368,10985,112.0,5900,105.0,1,Tai cua hang,3,Saturday,SP,Vat ly,38,4.727387818712341,8.682877107057168,2
10369,11112,149.0,2650,149.0,1,Truc tuyen,3,Friday,DF,Truc tuyen,OL_4,5.0106352940962555,7.8826922062890254,2
1037,11615,839.99,30000,839.99,1,Truc tuyen,3,Sunday,RJ,Truc tuyen,OL_15,6.734579769295833,10.308985993422082,2
10370,13206,17.75,850,18.75,1,Tai cua hang,1,Sunday,SP,Vat ly,100,2.9311937524164198,6.7464121285733745,1
10371,16611,60.0,1177,60.0,1,Tai cua hang,2,Wednesday,SP,Vat ly,58,4.110873864173311,7.071573364211532,3
10372,5112,57.4,650,57.4,1,Tai cua hang,2,Friday,SP,Vat ly,21,4.067315889834181,6.478509642208569,3
10373,7958,243.89,900,243.89,1,Tai cua hang,4,Wednesday,SP,Vat ly,30,5.500809130131374,6.803505257608338,0
10374,587,104.99,633,109.99,1,Tai cua hang,2,Saturday,SP,Vat ly,30,4.663344750039164,6.452048954437226,0
10375,14276,69.9,1300,79.9,1,Truc tuyen,4,Friday,SP,Truc tuyen,OL_28,4.2612704335380815,7.170888478512505,3
10376,18313,359.9,3100,359.9,1,Truc tuyen,1,Tuesday,SC,Truc tuyen,OL_8,5.8886009116487426,8.03947991910045,2
10377,10331,161.99,5000,161.99,1,Truc tuyen,3,Tuesday,SP,Truc tuyen,OL_28,5.093688849231541,8.517393171418904,2
10378,5037,129.99,1200,129.99,1,Tai cua hang,1,Monday,BA,Vat ly,40,4.875120984409557,7.0909098220799835,3
10379,16859,277.0,363,278.0,1,Tai cua hang,4,Sunday,MG,Vat ly,84,5.627621113690637,5.8971538676367405,0
1038,8169,92.9,1825,99.9,1,Tai cua hang,3,Monday,SP,Vat ly,17,4.542230386214217,7.509883061154913,3
10380,4825,144.9,8750,159.9,1,Truc tuyen,4,Friday,DF,Truc tuyen,OL_4,4.98292145552874,9.076923258535832,2
10381,12950,59.9,510,59.9,1,Tai cua hang,3,Thursday,RS,Vat ly,13,4.109233174715851,6.236369590203704,3
10382,12587,12.3,200,12.3,1,Tai cua hang,2,Saturday,SP,Vat ly,85,2.5877640352277083,5.303304908059076,1
10383,5179,40.99,75,40.99,1,Truc tuyen,1,Saturday,SP,Truc tuyen,OL_28,3.737431494696102,4.330733340286331,1
10384,4386,53.9,1650,161.7,3,Tai cua hang,2,Tuesday,SP,Vat ly,38,4.005513348515485,7.409136443920128,3
10385,20133,314.9,8050,309.9,1,Truc tuyen,3,Saturday,SP,Truc tuyen,OL_28,5.7554257078080395,8.993551586299981,2
10386,225,59.0,250,59.0,1,Tai cua hang,2,Sunday,GO,Vat ly,26,4.0943445622221,5.5254529391317835,1
10387,363,69.77,100,69.77,1,Tai cua hang,4,Saturday,SP,Vat ly,30,4.259435182087693,4.61512051684126,1
10388,19267,21.99,300,21.99,1,Tai cua hang,1,Saturday,SP,Vat ly,16,3.1350593387750902,5.707110264748875,1
10389,11121,169.9,5000,174.9,1,Truc tuyen,1,Wednesday,PR,Truc tuyen,OL_7,5.141078590121546,8.517393171418904,2
1039,7441,129.99,5250,139.99,1,Tai cua hang,1,Friday,MG,Vat ly,15,4.875120984409557,8.566173813637858,2
10390,13805,69.9,2600,69.9,1,Tai cua hang,2,Thursday,SP,Vat ly,16,4.2612704335380815,7.8636512654486515,3
10391,221,109.9,850,109.9,1,Tai cua hang,4,Saturday,RS,Vat ly,10,4.7086288943563215,6.7464121285733745,3
10392,15761,69.0,20850,69.0,1,Tai cua hang,3,Wednesday,SP,Vat ly,30,4.248495242049359,9.94515718770752,2
10392,5014,145.0,200,145.0,1,Tai cua hang,3,Wednesday,SP,Vat ly,17,4.983606621708336,5.303304908059076,0
10393,2660,269.1,1100,807.3,3,Tai cua hang,1,Sunday,SC,Vat ly,69,5.59879226079857,7.00397413672268,0
10394,11456,200.0,900,200.0,1,Tai cua hang,4,Tuesday,PA,Vat ly,23,5.303304908059076,6.803505257608338,0
10395,15115,45.65,200,45.65,1,Tai cua hang,4,Sunday,SP,Vat ly,58,3.8426729272933526,5.303304908059076,1
10396,4386,53.9,1650,99.8,2,Truc tuyen,1,Tuesday,MG,Truc tuyen,OL_3,4.005513348515485,7.409136443920128,3
10397,6768,53.9,1500,49.0,1,Truc tuyen,4,Friday,MG,Truc tuyen,OL_3,4.005513348515485,7.313886831633462,3
10398,14412,94.5,1350,94.5,1,Tai cua hang,2,Friday,SP,Vat ly,58,4.5591262474866845,7.208600337960199,3
10399,12848,49.9,150,49.9,1,Truc tuyen,3,Saturday,MG,Truc tuyen,OL_3,3.929862923556477,5.017279836814924,1
104,17891,62.0,450,62.0,1,Tai cua hang,3,Sunday,MG,Vat ly,20,4.143134726391533,6.111467339502679,3
1040,917,119.34,5400,119.34,1,Tai cua hang,3,Friday,GO,Vat ly,54,4.790321069792205,8.594339400592892,2
10400,3529,89.99,250,79.99,1,Tai cua hang,1,Saturday,SP,Vat ly,30,4.5107496103686,5.5254529391317835,0
10401,10056,58.99,200,58.99,1,Tai cua hang,4,Saturday,SP,Vat ly,14,4.094177881665002,5.303304908059076,1
10402,4347,15.12,150,18.9,1,Tai cua hang,1,Sunday,SP,Vat ly,19,2.780060737078482,5.017279836814924,1
10403,9057,28.0,500,28.0,1,Tai cua hang,3,Sunday,SP,Vat ly,78,3.367295829986474,6.2166061010848646,1
