user_id,recency,frequency,monetary,cluster,segment
124,1611,1,25.06,0,Ngủ đông
126,1483,1,48.0,0,Ngủ đông
130,1918,2,77.990005,1,Bình thường
132,1423,2,99.0,3,Tiềm năng
133,1503,2,83.89,3,Tiềm năng
135,1723,2,72.89,3,Tiềm năng
136,1556,3,412.76,2,VIP
137,1578,1,49.5,0,Ngủ đông
138,1664,3,403.45,2,VIP
141,1472,2,136.49,3,Tiềm năng
142,1920,1,198.0,1,Bình thường
143,1970,1,37.98,1,Bình thường
144,1609,4,235.73001,2,VIP
145,1593,3,62.67,3,Tiềm năng
146,1891,1,74.990005,1,Bình thường
147,1454,1,15.28,0,Ngủ đông
149,1658,1,53.780003,0,Ngủ đông
151,1423,1,34.84,0,Ngủ đông
152,1550,1,99.99,0,Ngủ đông
153,1471,1,199.99,0,Ngủ đông
154,1704,3,227.98001,3,Tiềm năng
157,1492,2,310.47998,3,Tiềm năng
158,1702,3,481.29,2,VIP
159,1706,2,173.0,3,Tiềm năng
161,2151,1,21.2,1,Bình thường
163,1467,1,43.95,0,Ngủ đông
164,1561,1,102.32,0,Ngủ đông
165,1464,1,5.95,0,Ngủ đông
166,1482,1,93.99,0,Ngủ đông
168,1528,1,38.99,0,Ngủ đông
169,1513,1,62.870003,0,Ngủ đông
171,1448,2,90.99,3,Tiềm năng
174,1497,1,98.0,0,Ngủ đông
175,1559,1,260.0,0,Ngủ đông
177,1426,1,50.0,0,Ngủ đông
179,1639,2,224.64,3,Tiềm năng
183,1536,3,260.29,2,VIP
185,1519,2,84.1,3,Tiềm năng
186,1730,2,142.98001,3,Tiềm năng
187,2237,2,124.11,1,Bình thường
188,1491,1,74.5,0,Ngủ đông
189,2540,1,65.55,1,Bình thường
190,1644,1,24.5,0,Ngủ đông
191,1777,2,129.7,3,Tiềm năng
192,1526,1,36.39,0,Ngủ đông
193,1500,2,263.5,3,Tiềm năng
196,1823,1,129.28,0,Ngủ đông
197,1418,2,83.66,3,Tiềm năng
198,1946,1,108.490005,1,Bình thường
199,1586,1,51.95,0,Ngủ đông
200,1482,1,129.0,0,Ngủ đông
201,1491,1,89.6,0,Ngủ đông
204,1775,1,45.56,0,Ngủ đông
205,1473,1,58.45,0,Ngủ đông
207,1420,1,243.0,0,Ngủ đông
208,1581,1,164.94,0,Ngủ đông
209,1714,2,242.94,3,Tiềm năng
210,1479,2,71.33,3,Tiềm năng
211,1593,1,29.99,0,Ngủ đông
212,1794,1,46.39,0,Ngủ đông
213,1530,1,99.97,0,Ngủ đông
214,1617,3,355.29,2,VIP
216,2016,1,49.76,1,Bình thường
217,1518,1,99.4,0,Ngủ đông
218,1671,2,388.68,2,VIP
219,1466,1,233.92,0,Ngủ đông
221,1448,1,14.45,0,Ngủ đông
223,1850,4,767.02,2,VIP
224,1492,2,269.99,3,Tiềm năng
225,2095,1,178.99,1,Bình thường
226,2097,1,140.19,1,Bình thường
227,1518,4,381.39,2,VIP
228,1659,2,170.7,3,Tiềm năng
230,1548,1,276.49,0,Ngủ đông
231,1499,1,77.95,0,Ngủ đông
232,1560,1,207.95999,0,Ngủ đông
234,2317,2,204.99,1,Bình thường
235,1811,1,93.5,0,Ngủ đông
236,1441,1,89.5,0,Ngủ đông
237,1440,2,51.13,3,Tiềm năng
238,1699,1,34.0,0,Ngủ đông
240,1913,1,80.5,1,Bình thường
241,1447,1,1022.95,2,VIP
244,1448,1,56.0,0,Ngủ đông
245,1552,2,121.49,3,Tiềm năng
247,1955,1,149.39,1,Bình thường
248,1536,1,120.0,0,Ngủ đông
249,1520,1,41.99,0,Ngủ đông
250,1424,1,154.0,0,Ngủ đông
251,1432,2,265.19998,3,Tiềm năng
252,1495,2,130.09,3,Tiềm năng
254,1800,3,181.45001,3,Tiềm năng
255,1452,1,98.0,0,Ngủ đông
256,1714,1,14.99,0,Ngủ đông
257,1505,1,189.0,0,Ngủ đông
258,1449,2,69.0,3,Tiềm năng
259,1693,1,19.99,0,Ngủ đông
260,1707,1,81.95,0,Ngủ đông
262,1430,1,132.66,0,Ngủ đông
263,1456,3,184.39001,3,Tiềm năng
264,2214,1,55.0,1,Bình thường
265,2493,1,168.0,1,Bình thường
266,1716,1,116.43,0,Ngủ đông
272,1535,1,198.0,0,Ngủ đông
273,1963,1,39.99,1,Bình thường
275,1596,1,116.990005,0,Ngủ đông
276,1430,4,429.85,2,VIP
277,1425,1,44.99,0,Ngủ đông
278,2032,1,61.99,1,Bình thường
279,1569,1,69.5,0,Ngủ đông
280,1858,1,895.0,2,VIP
281,1560,1,21.95,0,Ngủ đông
282,2198,2,55.65,1,Bình thường
283,2057,1,62.0,1,Bình thường
284,1573,1,85.0,0,Ngủ đông
286,1525,4,370.14996,2,VIP
287,1738,1,69.53,0,Ngủ đông
288,1839,1,39.95,1,Bình thường
289,1800,1,7.18,0,Ngủ đông
290,1506,4,274.40002,2,VIP
291,1592,2,219.48999,3,Tiềm năng
293,1575,2,132.95,3,Tiềm năng
294,1957,1,19.76,1,Bình thường
295,1918,2,229.94,3,Tiềm năng
296,1550,1,42.0,0,Ngủ đông
298,1672,1,42.0,0,Ngủ đông
301,1504,1,24.78,0,Ngủ đông
303,1932,1,31.39,1,Bình thường
305,1613,1,66.5,0,Ngủ đông
307,2114,1,114.4,1,Bình thường
308,1468,1,49.99,0,Ngủ đông
309,1461,4,404.49,2,VIP
310,2325,1,58.34,1,Bình thường
311,1449,3,104.47,3,Tiềm năng
317,1489,3,115.0,3,Tiềm năng
318,1589,1,99.99,0,Ngủ đông
320,1482,1,278.0,0,Ngủ đông
321,2032,2,23.46,1,Bình thường
323,2295,1,29.99,1,Bình thường
325,1919,1,704.96,2,VIP
327,1918,1,61.409996,1,Bình thường
330,1974,1,279.99,1,Bình thường
331,2389,1,25.0,1,Bình thường
335,2038,1,123.0,1,Bình thường
336,1600,1,219.0,0,Ngủ đông
339,1673,1,177.95,0,Ngủ đông
340,1691,1,37.989998,0,Ngủ đông
341,1519,2,344.98,2,VIP
345,1489,1,19.95,0,Ngủ đông
346,1518,1,29.99,0,Ngủ đông
348,1759,2,46.989998,3,Tiềm năng
349,2187,1,85.9,1,Bình thường
350,1436,3,287.94,2,VIP
353,1522,1,16.99,0,Ngủ đông
355,1485,1,25.42,0,Ngủ đông
356,2195,1,55.0,1,Bình thường
358,1559,1,147.98999,0,Ngủ đông
359,1586,1,135.0,0,Ngủ đông
362,2636,1,34.99,1,Bình thường
363,1791,1,79.95,0,Ngủ đông
364,1598,1,19.99,0,Ngủ đông
366,1537,1,69.95,0,Ngủ đông
367,1521,3,262.57,2,VIP
369,1432,2,112.98,3,Tiềm năng
371,1464,1,97.3,0,Ngủ đông
372,1567,1,27.65,0,Ngủ đông
374,1474,3,376.47,2,VIP
375,1650,4,271.88998,2,VIP
376,1663,1,172.0,0,Ngủ đông
377,1728,1,21.04,0,Ngủ đông
378,1439,1,224.28,0,Ngủ đông
379,1491,1,28.0,0,Ngủ đông
381,2550,1,34.5,1,Bình thường
382,1471,1,60.3,0,Ngủ đông
383,1926,1,28.48,1,Bình thường
385,1514,1,233.72,0,Ngủ đông
386,1575,1,26.0,0,Ngủ đông
387,1562,1,25.2,0,Ngủ đông
388,1540,1,36.0,0,Ngủ đông
390,1550,1,55.0,0,Ngủ đông
392,1611,2,98.899994,3,Tiềm năng
394,1546,1,172.94,0,Ngủ đông
395,2020,1,22.0,1,Bình thường
396,2349,1,50.0,1,Bình thường
397,1492,1,120.0,0,Ngủ đông
399,1464,1,376.07,0,Ngủ đông
401,1424,1,69.0,0,Ngủ đông
402,1937,1,105.38,1,Bình thường
407,2443,1,126.21,1,Bình thường
409,1463,1,133.04,0,Ngủ đông
410,1516,2,395.71002,2,VIP
413,1447,1,5.99,0,Ngủ đông
414,1432,1,34.95,0,Ngủ đông
415,2485,1,35.99,1,Bình thường
416,1676,4,132.95,3,Tiềm năng
417,1654,3,376.96997,2,VIP
418,1545,1,19.0,0,Ngủ đông
419,1650,3,531.94,2,VIP
420,1424,3,315.87,2,VIP
421,2030,1,8.54,1,Bình thường
422,1423,2,73.95,3,Tiềm năng
423,1521,2,165.59999,3,Tiềm năng
425,1721,2,154.87,3,Tiềm năng
426,1842,1,90.75,1,Bình thường
427,1601,1,9.99,0,Ngủ đông
428,1906,1,52.120003,1,Bình thường
429,1938,1,98.0,1,Bình thường
430,1814,1,96.0,0,Ngủ đông
431,1447,2,36.940002,3,Tiềm năng
433,1704,2,440.56,2,VIP
434,1637,1,78.1,0,Ngủ đông
436,1574,2,98.35,3,Tiềm năng
437,2400,1,148.57,1,Bình thường
438,1782,1,234.48999,0,Ngủ đông
439,1787,2,87.88,3,Tiềm năng
440,1449,1,153.76,0,Ngủ đông
441,1705,1,59.0,0,Ngủ đông
442,2137,1,33.6,1,Bình thường
444,1471,1,66.0,0,Ngủ đông
445,1518,2,187.56001,3,Tiềm năng
447,1557,1,51.99,0,Ngủ đông
448,1525,4,274.88,2,VIP
449,1426,1,199.98,0,Ngủ đông
450,1533,1,13.56,0,Ngủ đông
451,1496,1,29.0,0,Ngủ đông
452,1421,4,135.74,3,Tiềm năng
453,1602,2,163.5,3,Tiềm năng
454,1637,1,60.0,0,Ngủ đông
455,1583,2,129.95,3,Tiềm năng
457,1732,1,323.48,0,Ngủ đông
458,1634,1,29.95,0,Ngủ đông
459,1598,1,45.0,0,Ngủ đông
460,1679,3,138.22,3,Tiềm năng
461,1591,1,32.9,0,Ngủ đông
462,1438,1,1.98,0,Ngủ đông
464,1926,1,56.98,1,Bình thường
465,2199,1,40.0,1,Bình thường
467,1495,2,332.0,2,VIP
468,1509,1,9.99,0,Ngủ đông
470,1418,1,92.83,0,Ngủ đông
472,1660,1,59.95,0,Ngủ đông
474,2035,1,25.0,1,Bình thường
475,1515,3,321.81998,2,VIP
477,1617,1,23.18,0,Ngủ đông
478,1739,1,346.5,0,Ngủ đông
480,1533,1,69.5,0,Ngủ đông
481,2540,1,11.9,1,Bình thường
482,1760,1,28.0,0,Ngủ đông
483,1537,3,370.68,2,VIP
484,1638,1,145.53,0,Ngủ đông
485,1575,2,170.18,3,Tiềm năng
487,1815,1,45.0,0,Ngủ đông
488,1650,1,44.510002,0,Ngủ đông
489,1440,1,235.08,0,Ngủ đông
491,2042,1,52.92,1,Bình thường
492,1478,1,248.0,0,Ngủ đông
494,1847,2,29.67,3,Tiềm năng
495,2072,1,58.84,1,Bình thường
496,2110,1,7.95,1,Bình thường
499,1629,1,25.0,0,Ngủ đông
500,1460,3,211.63,3,Tiềm năng
501,1884,4,289.3,2,VIP
502,1842,1,33.94,1,Bình thường
503,1864,1,43.48,1,Bình thường
504,1607,1,44.5,0,Ngủ đông
505,1450,4,276.49,2,VIP
507,1743,2,183.95999,3,Tiềm năng
508,1935,2,75.95,1,Bình thường
510,1734,2,311.94,3,Tiềm năng
511,1801,1,25.0,0,Ngủ đông
512,1604,3,256.96,2,VIP
513,1438,3,81.98,3,Tiềm năng
515,1952,1,171.29999,1,Bình thường
517,1676,2,79.479996,3,Tiềm năng
518,1556,1,73.07,0,Ngủ đông
520,2105,1,295.0,1,Bình thường
521,1589,1,225.0,0,Ngủ đông
523,1441,1,30.48,0,Ngủ đông
525,1429,1,108.0,0,Ngủ đông
526,1950,1,70.24,1,Bình thường
527,1751,1,14.18,0,Ngủ đông
528,1565,1,168.0,0,Ngủ đông
529,2171,1,123.25,1,Bình thường
530,1780,2,126.07,3,Tiềm năng
531,1615,4,398.04,2,VIP
532,1907,3,104.36,3,Tiềm năng
534,1727,3,386.52002,2,VIP
535,1557,4,806.97003,2,VIP
536,1935,3,198.83,3,Tiềm năng
537,1564,1,40.0,0,Ngủ đông
538,1438,2,58.97,3,Tiềm năng
539,1955,1,14.99,1,Bình thường
540,1949,1,63.56,1,Bình thường
543,2250,1,49.5,1,Bình thường
544,1466,1,92.9,0,Ngủ đông
545,1679,2,271.79,3,Tiềm năng
546,1614,1,40.02,0,Ngủ đông
547,1585,4,366.75,2,VIP
548,1608,1,119.99,0,Ngủ đông
549,2170,3,767.37,2,VIP
550,1552,1,44.99,0,Ngủ đông
551,2146,1,24.99,1,Bình thường
552,1435,1,13.99,0,Ngủ đông
553,1738,2,193.12,3,Tiềm năng
554,1943,1,24.99,1,Bình thường
555,1437,3,278.9,2,VIP
556,1550,2,73.990005,3,Tiềm năng
558,1715,1,135.82,0,Ngủ đông
559,1581,2,78.5,3,Tiềm năng
560,1584,2,79.98,3,Tiềm năng
563,1491,1,51.0,0,Ngủ đông
564,1493,2,162.44,3,Tiềm năng
565,1548,1,22.0,0,Ngủ đông
566,1524,1,167.12001,0,Ngủ đông
567,1422,2,92.99,3,Tiềm năng
568,1814,1,13.99,0,Ngủ đông
569,1518,1,95.619995,0,Ngủ đông
570,1490,2,120.86,3,Tiềm năng
571,1441,1,30.0,0,Ngủ đông
572,1459,1,140.0,0,Ngủ đông
573,1756,1,495.0,2,VIP
574,1956,3,632.95,2,VIP
575,1490,2,255.95,3,Tiềm năng
576,1519,2,79.990005,3,Tiềm năng
578,1577,1,12.99,0,Ngủ đông
579,1559,1,112.5,0,Ngủ đông
580,1589,2,270.97998,3,Tiềm năng
582,1428,1,193.95,0,Ngủ đông
583,1585,1,69.95,0,Ngủ đông
585,1453,1,13.01,0,Ngủ đông
586,1748,1,73.5,0,Ngủ đông
587,1574,1,11.0,0,Ngủ đông
588,1558,2,287.0,3,Tiềm năng
589,1772,1,520.94,2,VIP
590,1927,2,83.350006,1,Bình thường
592,2029,2,215.45,1,Bình thường
594,1524,2,90.95,3,Tiềm năng
595,1432,1,21.5,0,Ngủ đông
598,1504,2,43.489998,3,Tiềm năng
600,1440,1,79.5,0,Ngủ đông
601,1532,1,13.56,0,Ngủ đông
603,1689,1,104.49,0,Ngủ đông
605,1721,2,82.5,3,Tiềm năng
606,1454,1,25.0,0,Ngủ đông
607,1576,1,19.08,0,Ngủ đông
608,1461,1,29.5,0,Ngủ đông
609,1803,1,182.12001,0,Ngủ đông
610,1431,1,56.0,0,Ngủ đông
611,1824,2,59.99,3,Tiềm năng
615,1716,1,167.48001,0,Ngủ đông
617,1500,1,98.0,0,Ngủ đông
618,1873,4,252.93,2,VIP
619,1614,3,89.479996,3,Tiềm năng
622,1505,1,24.0,0,Ngủ đông
623,1454,2,123.99,3,Tiềm năng
624,1426,1,172.0,0,Ngủ đông
625,1612,1,194.93,0,Ngủ đông
627,1456,4,316.7,2,VIP
628,1724,1,54.5,0,Ngủ đông
629,1917,1,24.99,1,Bình thường
631,2220,1,119.0,1,Bình thường
632,2358,1,44.0,1,Bình thường
633,1429,1,343.99,0,Ngủ đông
634,1537,1,288.0,0,Ngủ đông
635,1468,3,216.83,3,Tiềm năng
636,1454,1,60.79,0,Ngủ đông
638,1490,1,22.82,0,Ngủ đông
639,1432,1,92.7,0,Ngủ đông
640,1512,1,377.06,0,Ngủ đông
641,1439,2,107.9,3,Tiềm năng
645,1676,1,13.31,0,Ngủ đông
647,1582,1,86.11,0,Ngủ đông
648,1782,1,24.0,0,Ngủ đông
649,1817,1,328.24,1,Bình thường
650,1422,1,40.75,0,Ngủ đông
651,1440,1,65.130005,0,Ngủ đông
652,1860,2,69.98,3,Tiềm năng
653,1741,3,410.71,2,VIP
654,1521,1,159.5,0,Ngủ đông
655,1623,1,235.95,0,Ngủ đông
656,1501,1,37.0,0,Ngủ đông
660,2266,1,149.0,1,Bình thường
661,1528,1,26.0,0,Ngủ đông
662,1837,1,20.87,1,Bình thường
664,1631,1,6.94,0,Ngủ đông
665,1445,1,214.99,0,Ngủ đông
666,1667,2,192.41,3,Tiềm năng
668,1873,1,58.5,1,Bình thường
670,1599,1,49.45,0,Ngủ đông
671,1423,1,175.0,0,Ngủ đông
672,2108,2,284.13998,1,Bình thường
673,1541,2,275.6,3,Tiềm năng
674,1461,1,13.5,0,Ngủ đông
676,2082,1,144.98001,1,Bình thường
678,1902,4,341.5,2,VIP
679,1659,1,49.99,0,Ngủ đông
681,2156,1,69.99,1,Bình thường
682,1738,2,69.94,3,Tiềm năng
684,1475,1,66.28,0,Ngủ đông
685,1470,1,60.0,0,Ngủ đông
687,1684,4,780.75,2,VIP
688,1657,2,257.98,3,Tiềm năng
689,1450,1,59.5,0,Ngủ đông
690,1554,2,159.98,3,Tiềm năng
691,1591,2,74.94,3,Tiềm năng
692,1500,1,19.0,0,Ngủ đông
694,1826,1,12.99,0,Ngủ đông
695,1533,1,39.99,0,Ngủ đông
696,1847,1,29.5,1,Bình thường
698,1592,2,241.46,3,Tiềm năng
699,1725,1,38.5,0,Ngủ đông
700,1466,1,141.47,0,Ngủ đông
702,1425,1,27.0,0,Ngủ đông
703,1786,1,62.0,0,Ngủ đông
704,1556,1,122.17,0,Ngủ đông
705,2351,1,66.96,1,Bình thường
707,1561,1,24.99,0,Ngủ đông
708,1989,3,369.11,2,VIP
710,1565,1,59.5,0,Ngủ đông
711,1511,2,117.37,3,Tiềm năng
714,1509,1,73.98,0,Ngủ đông
717,1730,1,69.95,0,Ngủ đông
718,1510,1,39.99,0,Ngủ đông
719,1562,1,43.15,0,Ngủ đông
720,2310,1,98.0,1,Bình thường
722,1423,1,39.99,0,Ngủ đông
723,1533,1,107.380005,0,Ngủ đông
726,1659,1,110.0,0,Ngủ đông
729,1879,1,83.76,1,Bình thường
730,2333,1,20.39,1,Bình thường
731,1551,2,315.75,3,Tiềm năng
732,2067,1,15.88,1,Bình thường
734,1493,1,25.1,0,Ngủ đông
735,1494,2,64.0,3,Tiềm năng
738,1598,2,134.41,3,Tiềm năng
739,1659,1,66.0,0,Ngủ đông
740,2044,1,168.16,1,Bình thường
741,1429,2,117.95,3,Tiềm năng
742,2073,1,89.0,1,Bình thường
743,1606,2,32.89,3,Tiềm năng
744,1521,2,211.0,3,Tiềm năng
745,1646,1,74.5,0,Ngủ đông
747,1502,1,299.5,0,Ngủ đông
748,1446,2,164.0,3,Tiềm năng
749,2105,1,83.990005,1,Bình thường
750,1578,1,69.0,0,Ngủ đông
751,1626,2,181.55,3,Tiềm năng
753,1782,2,309.36,3,Tiềm năng
755,1543,2,18.99,3,Tiềm năng
756,1466,2,59.0,3,Tiềm năng
757,1627,3,148.8,3,Tiềm năng
758,1435,1,8.99,0,Ngủ đông
760,1424,1,17.9,0,Ngủ đông
763,1830,1,44.0,0,Ngủ đông
764,1566,2,168.15,3,Tiềm năng
765,1480,2,113.95,3,Tiềm năng
766,1434,2,187.12,3,Tiềm năng
767,1695,1,45.0,0,Ngủ đông
768,1990,1,373.94,1,Bình thường
770,1428,2,259.46,3,Tiềm năng
771,1584,1,40.62,0,Ngủ đông
773,1455,2,189.98,3,Tiềm năng
777,2289,1,159.0,1,Bình thường
779,1740,2,200.42,3,Tiềm năng
780,1438,1,49.5,0,Ngủ đông
781,1431,1,94.920006,0,Ngủ đông
783,1421,2,325.83002,3,Tiềm năng
784,2062,1,124.5,1,Bình thường
786,1432,1,151.95,0,Ngủ đông
787,1433,3,144.05,3,Tiềm năng
788,1498,1,337.0,0,Ngủ đông
789,1801,1,75.0,0,Ngủ đông
791,1775,1,95.99,0,Ngủ đông
792,1625,1,25.0,0,Ngủ đông
793,1526,1,44.5,0,Ngủ đông
795,1991,1,159.0,1,Bình thường
796,1720,1,21.39,0,Ngủ đông
797,2002,1,69.35,1,Bình thường
798,1695,2,113.97,3,Tiềm năng
799,2033,2,142.79001,1,Bình thường
800,2140,2,77.0,1,Bình thường
802,1797,1,65.0,0,Ngủ đông
803,1987,1,175.0,1,Bình thường
804,1523,1,68.0,0,Ngủ đông
805,1707,2,245.42001,3,Tiềm năng
806,2032,1,81.0,1,Bình thường
808,1561,1,13.77,0,Ngủ đông
810,1633,2,77.85,3,Tiềm năng
812,1863,1,12.76,1,Bình thường
813,1595,1,10.56,0,Ngủ đông
814,1488,3,120.55,3,Tiềm năng
815,2451,1,25.0,1,Bình thường
816,1566,1,89.99,0,Ngủ đông
817,1893,1,36.95,1,Bình thường
818,1619,3,421.49,2,VIP
819,2100,1,350.0,1,Bình thường
821,2255,1,93.97,1,Bình thường
822,1482,2,101.990005,3,Tiềm năng
823,1984,1,44.93,1,Bình thường
824,1491,1,25.0,0,Ngủ đông
825,2031,1,187.97,1,Bình thường
827,1940,1,23.99,1,Bình thường
828,1452,1,34.0,0,Ngủ đông
829,2054,1,79.99,1,Bình thường
830,1908,3,239.23001,3,Tiềm năng
832,1776,1,39.99,0,Ngủ đông
833,1469,3,333.35,2,VIP
834,1482,2,359.94,2,VIP
835,1433,1,69.95,0,Ngủ đông
836,1429,1,49.99,0,Ngủ đông
840,1892,1,107.71,1,Bình thường
842,1464,2,203.79,3,Tiềm năng
844,1496,1,11.53,0,Ngủ đông
845,2058,1,29.5,1,Bình thường
847,1637,2,69.45,3,Tiềm năng
848,1475,2,72.689995,3,Tiềm năng
849,1427,2,879.0,2,VIP
852,2424,1,174.95,1,Bình thường
853,2450,2,310.49,1,Bình thường
855,1639,1,7.56,0,Ngủ đông
856,2199,1,27.94,1,Bình thường
857,1940,1,159.0,1,Bình thường
858,1985,1,146.99,1,Bình thường
860,1838,3,448.11,2,VIP
862,1573,3,198.03,3,Tiềm năng
863,1424,2,334.99,2,VIP
864,1448,1,99.16,0,Ngủ đông
866,1454,1,49.989998,0,Ngủ đông
867,1788,1,13.5,0,Ngủ đông
868,1772,1,194.93,0,Ngủ đông
869,1425,2,243.19,3,Tiềm năng
870,1458,1,24.19,0,Ngủ đông
871,1494,2,111.43,3,Tiềm năng
873,1615,1,19.99,0,Ngủ đông
875,1451,3,113.479996,3,Tiềm năng
876,1422,3,453.94,2,VIP
877,2327,1,14.99,1,Bình thường
878,1594,1,98.0,0,Ngủ đông
879,1679,4,143.24,3,Tiềm năng
881,1750,1,62.99,0,Ngủ đông
882,1505,4,226.59,2,VIP
885,2010,3,315.0,2,VIP
887,1804,1,110.0,0,Ngủ đông
888,1437,2,66.97,3,Tiềm năng
889,1810,1,56.0,0,Ngủ đông
890,1433,2,85.45,3,Tiềm năng
891,1424,3,274.88998,2,VIP
894,1665,2,177.87,3,Tiềm năng
895,1566,2,99.95,3,Tiềm năng
896,1546,1,239.5,0,Ngủ đông
897,1423,4,448.96997,2,VIP
899,1465,3,227.42,3,Tiềm năng
900,1460,1,39.99,0,Ngủ đông
901,1890,1,34.99,1,Bình thường
904,1549,1,104.25,0,Ngủ đông
905,1839,1,160.0,1,Bình thường
908,1515,1,44.78,0,Ngủ đông
910,1664,1,133.0,0,Ngủ đông
911,1489,1,59.97,0,Ngủ đông
912,2120,1,59.5,1,Bình thường
913,1474,2,61.489998,3,Tiềm năng
914,1765,1,54.57,0,Ngủ đông
916,1577,1,19.99,0,Ngủ đông
917,1911,1,166.18,1,Bình thường
919,1527,1,78.75,0,Ngủ đông
920,1850,1,36.95,1,Bình thường
921,1569,2,155.92,3,Tiềm năng
922,1913,1,4.88,1,Bình thường
923,1422,1,25.0,0,Ngủ đông
924,1427,3,201.93001,3,Tiềm năng
926,1551,1,44.99,0,Ngủ đông
927,1651,1,539.95,2,VIP
929,1462,2,413.74,2,VIP
930,1764,2,88.95,3,Tiềm năng
932,1476,1,140.8,0,Ngủ đông
934,1723,2,94.45,3,Tiềm năng
936,1537,1,24.95,0,Ngủ đông
937,1524,1,79.94,0,Ngủ đông
938,1559,1,99.94,0,Ngủ đông
939,1501,1,64.98,0,Ngủ đông
940,1943,1,32.0,1,Bình thường
942,2244,1,21.99,1,Bình thường
944,1430,3,152.87,3,Tiềm năng
949,1459,2,292.40002,3,Tiềm năng
951,1749,1,28.5,0,Ngủ đông
952,1881,1,151.93,1,Bình thường
953,1691,3,186.93001,3,Tiềm năng
954,1556,1,121.58,0,Ngủ đông
956,1549,2,96.92,3,Tiềm năng
957,1435,1,163.0,0,Ngủ đông
959,1573,1,133.48001,0,Ngủ đông
961,1676,1,25.0,0,Ngủ đông
962,1698,1,36.0,0,Ngủ đông
