"MADON","MAMH","GIA","TRONGLUONG","TONGTIEN","SOLUONGDAT","KENHBANHANG","QUY","THUTRONGTUAN","BANG","LOAICUAHANG","MACUAHANG"
"10243","3999",64.9,5150,64.9,1,"Truc tuyen",3,"Sunday","SP","Truc tuyen","OL_23"
"10244","5367",18.99,300,18.99,1,"Tai cua hang",4,"Friday","BA","Vat ly","40"
"10245","338",159.9,1600,159.9,1,"Truc tuyen",3,"Wednesday","SP","Truc tuyen","OL_28"
"10246","3831",74.99,1450,74.99,1,"Tai cua hang",2,"Monday","BA","Vat ly","40"
"10247","12539",590,530,590,1,"Tai cua hang",4,"Saturday","SP","Vat ly","71"
"10248","9768",56,900,56,1,"Tai cua hang",3,"Saturday","MG","Vat ly","3"
"10249","17851",59.99,800,59.99,1,"Truc tuyen",1,"Saturday","RS","Truc tuyen","OL_18"
"1025","13831",12.9,200,12.9,1,"Tai cua hang",1,"Sunday","SP","Vat ly","24"
"10250","12617",19,100,19,1,"Tai cua hang",3,"Monday","MG","Vat ly","37"
"10251","17558",32.99,100,32.99,1,"Truc tuyen",3,"Sunday","SP","Truc tuyen","OL_28"
"10252","11135",224.9,1550,449.8,2,"Tai cua hang",2,"Wednesday","SP","Vat ly","38"
"10253","10460",884,13900,899,1,"Truc tuyen",3,"Wednesday","MG","Truc tuyen","OL_12"
"10254","15069",70.89,150,70.9,1,"Tai cua hang",1,"Monday","DF","Vat ly","27"
"10255","17794",196.8,1650,393.6,2,"Tai cua hang",3,"Tuesday","SP","Vat ly","12"
"10256","10224",299.99,550,299.99,1,"Tai cua hang",4,"Sunday","SP","Vat ly","25"
"10256","19937",35,100,37.5,1,"Tai cua hang",4,"Sunday","SP","Vat ly","52"
"10257","12160",179.49,550,179.49,1,"Tai cua hang",4,"Tuesday","SP","Vat ly","4"
"10258","20316",32.9,450,32.9,1,"Tai cua hang",2,"Sunday","SP","Vat ly","100"
"10259","7037",16.9,410,67.6,4,"Truc tuyen",4,"Tuesday","SP","Truc tuyen","OL_5"
"1026","6175",249.89,267,249.88,1,"Tai cua hang",2,"Sunday","PE","Vat ly","44"
"10260","1879",626,11375,626,1,"Tai cua hang",2,"Thursday","CE","Vat ly","79"
"10261","9205",56.89,434,61,1,"Tai cua hang",1,"Saturday","SP","Vat ly","34"
"10262","13122",59,1500,59,1,"Truc tuyen",1,"Sunday","SP","Truc tuyen","OL_28"
"10263","386",43,150,35,1,"Tai cua hang",1,"Sunday","SP","Vat ly","12"
"10264","5506",49.9,200,64.9,1,"Tai cua hang",3,"Saturday","SP","Vat ly","7"
"10265","17657",88,2100,88,1,"Truc tuyen",4,"Sunday","RJ","Truc tuyen","OL_16"
"10266","17751",82.99,550,82.99,1,"Tai cua hang",2,"Wednesday","PA","Vat ly","23"
"10267","9620",145,650,145,1,"Tai cua hang",1,"Saturday","SP","Vat ly","5"
"10268","15724",14.99,150,14.99,1,"Truc tuyen",2,"Saturday","SP","Truc tuyen","OL_25"
"10269","3383",115,3500,120,1,"Truc tuyen",2,"Thursday","RJ","Truc tuyen","OL_21"
"1027","18163",88,167,89.9,1,"Truc tuyen",1,"Thursday","SP","Truc tuyen","OL_28"
"10270","5967",14.99,200,14.99,1,"Tai cua hang",4,"Sunday","SP","Vat ly","18"
"10271","16007",594.9,3097,589.9,1,"Tai cua hang",2,"Thursday","SP","Vat ly","18"
"10272","13679",12.25,175,12.25,1,"Tai cua hang",1,"Sunday","MG","Vat ly","15"
"10273","9718",418,875,418,1,"Truc tuyen",3,"Tuesday","SC","Truc tuyen","OL_8"
"10274","12915",319,5825,319,1,"Tai cua hang",4,"Monday","SP","Vat ly","24"
"10275","10983",69,5500,59,1,"Truc tuyen",2,"Tuesday","RJ","Truc tuyen","OL_21"
"10276","18843",49,600,49,1,"Tai cua hang",2,"Monday","SP","Vat ly","100"
"10277","20010",54.9,1350,59.9,1,"Truc tuyen",1,"Sunday","MG","Truc tuyen","OL_3"
"10278","10920",105.18,250,105.18,1,"Tai cua hang",4,"Sunday","SP","Vat ly","55"
"10279","2617",30,200,30,1,"Tai cua hang",2,"Thursday","DF","Vat ly","1"
"1028","2915",97.4,300,94.9,1,"Tai cua hang",4,"Saturday","RS","Vat ly","13"
"10280","10330",24,150,24,1,"Tai cua hang",2,"Sunday","RJ","Vat ly","8"
"10281","60",9.9,550,9.9,1,"Tai cua hang",3,"Wednesday","MG","Vat ly","37"
"10282","656",99,9000,89,1,"Tai cua hang",2,"Thursday","GO","Vat ly","54"
"10283","9644",39,250,39,1,"Tai cua hang",3,"Sunday","BA","Vat ly","50"
"10284","16975",25.9,150,25.9,1,"Tai cua hang",3,"Saturday","PE","Vat ly","42"
"10285","17219",26.99,300,26.99,1,"Truc tuyen",2,"Sunday","RJ","Truc tuyen","OL_21"
"10285","17808",29,500,29,1,"Truc tuyen",2,"Sunday","RJ","Truc tuyen","OL_21"
"10286","6471",53.4,1200,53.4,1,"Tai cua hang",1,"Sunday","SP","Vat ly","82"
"10287","19496",151.74,400,151.74,1,"Tai cua hang",4,"Friday","SC","Vat ly","59"
"10288","8160",899.99,500,899.99,1,"Tai cua hang",2,"Saturday","RJ","Vat ly","29"
"10289","3200",59.9,500,59.9,1,"Tai cua hang",3,"Tuesday","SP","Vat ly","12"
"1029","6325",84.58,1550,84.58,1,"Truc tuyen",2,"Tuesday","SP","Truc tuyen","OL_13"
"10290","112",23.49,100,23.49,1,"Tai cua hang",4,"Wednesday","SP","Vat ly","91"
"10291","10827",49.9,600,49.9,1,"Tai cua hang",2,"Saturday","SP","Vat ly","14"
"10292","11059",79.9,150,79.9,1,"Tai cua hang",2,"Saturday","SP","Vat ly","80"
"10293","10210",119.5,150,119.5,1,"Tai cua hang",1,"Saturday","MG","Vat ly","15"
"10294","11140",28.9,600,28.9,1,"Tai cua hang",1,"Saturday","SP","Vat ly","11"
"10295","17712",29.9,450,29.99,1,"Tai cua hang",2,"Saturday","SP","Vat ly","34"
"10296","19776",99.99,975,98.9,1,"Tai cua hang",3,"Thursday","MG","Vat ly","96"
"10297","6564",69,350,69,1,"Tai cua hang",3,"Thursday","SP","Vat ly","14"
"10298","4888",24.95,500,24.95,1,"Tai cua hang",2,"Sunday","PE","Vat ly","42"
"10299","1821",29,83,87,3,"Tai cua hang",2,"Sunday","SP","Vat ly","32"
"103","19047",133.74,548,133.74,1,"Tai cua hang",4,"Friday","SP","Vat ly","21"
"1030","4916",229.9,3100,229.9,1,"Truc tuyen",1,"Thursday","SP","Truc tuyen","OL_28"
"10300","20224",171.9,8050,163.9,1,"Truc tuyen",1,"Saturday","SP","Truc tuyen","OL_17"
"10301","5202",76.89,300,76.89,1,"Tai cua hang",4,"Tuesday","SC","Vat ly","57"
"10302","1913",390,23500,390,1,"Truc tuyen",1,"Thursday","ES","Truc tuyen","OL_30"
"10303","15821",49,350,49,1,"Truc tuyen",2,"Sunday","SP","Truc tuyen","OL_5"
"10304","11068",239.9,1260,239.9,1,"Tai cua hang",3,"Monday","RS","Vat ly","10"
"10305","3723",170,850,170,1,"Tai cua hang",1,"Sunday","SP","Vat ly","17"
"10306","12978",35,650,98.97,3,"Tai cua hang",4,"Sunday","SP","Vat ly","100"
"10307","2943",26.9,200,26.9,1,"Tai cua hang",4,"Tuesday","PA","Vat ly","23"
"10308","2668",7,150,7,1,"Tai cua hang",3,"Sunday","PE","Vat ly","48"
"10309","9918",37,200,37,1,"Tai cua hang",1,"Wednesday","MG","Vat ly","86"
"1031","3349",199.99,100,199.99,1,"Tai cua hang",4,"Saturday","SP","Vat ly","22"
"10310","4151",89.99,1200,89.99,1,"Tai cua hang",2,"Saturday","SP","Vat ly","58"
"10311","3416",198.9,11200,198.9,1,"Truc tuyen",2,"Monday","SP","Truc tuyen","OL_28"
"10312","11901",23.4,300,23.4,1,"Tai cua hang",4,"Saturday","GO","Vat ly","35"
"10313","18724",50,6600,50,1,"Truc tuyen",3,"Saturday","MG","Truc tuyen","OL_3"
"10314","9038",49.9,550,49.9,1,"Tai cua hang",1,"Sunday","CE","Vat ly","97"
"10315","10034",69.9,100,69.9,1,"Truc tuyen",1,"Sunday","RJ","Truc tuyen","OL_21"
"10316","7901",82.5,300,89,1,"Tai cua hang",3,"Sunday","SP","Vat ly","17"
"10317","12723",34.5,100,34.5,1,"Tai cua hang",3,"Tuesday","SC","Vat ly","57"
"10318","4913",14.9,500,14.9,1,"Tai cua hang",3,"Sunday","MG","Vat ly","37"
"10319","8403",79.9,1000,79.9,1,"Truc tuyen",2,"Thursday","MG","Truc tuyen","OL_3"
"1032","13033",5.2,50,5.2,1,"Tai cua hang",1,"Sunday","SP","Vat ly","25"
"10320","13302",108,1000,105,1,"Tai cua hang",2,"Sunday","RJ","Vat ly","8"
"10321","4386",53.9,1650,49.9,1,"Truc tuyen",3,"Saturday","SP","Truc tuyen","OL_24"
"10322","8404",14.49,300,14.49,1,"Truc tuyen",3,"Monday","SP","Truc tuyen","OL_23"
"10323","20049",39.99,250,39.99,1,"Truc tuyen",3,"Saturday","SP","Truc tuyen","OL_28"
"10324","6742",159.9,200,159.9,1,"Tai cua hang",1,"Saturday","SP","Vat ly","43"
"10325","14170",79.99,500,79.99,1,"Tai cua hang",2,"Monday","SP","Vat ly","66"
"10326","10073",19.9,167,19.9,1,"Tai cua hang",4,"Saturday","SP","Vat ly","11"
"10327","19933",99,6950,99,1,"Truc tuyen",3,"Sunday","SP","Truc tuyen","OL_28"
"10328","3662",557,550,667,1,"Truc tuyen",4,"Wednesday","GO","Truc tuyen","OL_10"
"10329","1945",99,7600,99,1,"Truc tuyen",3,"Sunday","SP","Truc tuyen","OL_28"
"1033","19203",269.45,2638,269.45,1,"Tai cua hang",2,"Monday","SP","Vat ly","66"
"10330","16505",16.9,345,16.9,1,"Tai cua hang",1,"Monday","SP","Vat ly","91"
"10331","9966",169.9,2600,169.9,1,"Tai cua hang",3,"Thursday","SP","Vat ly","14"
"10332","6849",39.99,700,39.99,1,"Tai cua hang",1,"Saturday","SP","Vat ly","38"
"10333","4295",209,3900,209,1,"Truc tuyen",1,"Saturday","SP","Truc tuyen","OL_28"
"10334","9982",35.99,575,35.99,1,"Truc tuyen",4,"Monday","SP","Truc tuyen","OL_28"
"10335","10377",19.99,100,19.99,1,"Tai cua hang",4,"Saturday","SP","Vat ly","21"
"10336","10956",34,3575,34,1,"Truc tuyen",2,"Sunday","SP","Truc tuyen","OL_28"
"10337","2371",49.99,275,49.99,1,"Tai cua hang",1,"Tuesday","SP","Vat ly","95"
"10338","9263",65,250,65,1,"Tai cua hang",3,"Thursday","SP","Vat ly","25"
"10339","10783",28.9,150,57.8,2,"Tai cua hang",1,"Sunday","BA","Vat ly","50"
"1034","10941",539,2500,1078,2,"Tai cua hang",2,"Thursday","SP","Vat ly","55"
"10340","15257",19.9,200,19.9,1,"Tai cua hang",3,"Sunday","SC","Vat ly","57"
"10340","847",24.5,150,19.9,1,"Tai cua hang",3,"Sunday","BA","Vat ly","50"
"10341","13259",14.9,200,14.9,1,"Truc tuyen",2,"Monday","DF","Truc tuyen","OL_4"
"10342","1874",83.2,30000,83.2,1,"Truc tuyen",1,"Thursday","SP","Truc tuyen","OL_28"
"10342","18751",83.2,2010,83.2,1,"Truc tuyen",1,"Thursday","SP","Truc tuyen","OL_28"
"10343","1007",109,9350,100,1,"Truc tuyen",4,"Tuesday","SP","Truc tuyen","OL_28"
"10344","13035",37.5,1250,37.5,1,"Tai cua hang",3,"Tuesday","CE","Vat ly","97"
"10345","12873",230,12000,228,1,"Truc tuyen",3,"Wednesday","SP","Truc tuyen","OL_25"
"10346","6924",82.99,1450,82.99,1,"Tai cua hang",4,"Sunday","SC","Vat ly","57"
"10347","11931",143.99,1450,143.99,1,"Truc tuyen",3,"Friday","RJ","Truc tuyen","OL_21"
"10348","14877",19.9,9900,79.6,4,"Tai cua hang",2,"Monday","SP","Vat ly","100"
"10349","18513",170,700,199,1,"Tai cua hang",3,"Sunday","GO","Vat ly","35"
"1035","14156",29.99,550,119.96,4,"Truc tuyen",3,"Saturday","RS","Truc tuyen","OL_18"
"10350","12685",161.42,9850,161.42,1,"Tai cua hang",2,"Tuesday","SP","Vat ly","85"
"10351","15485",179.9,11950,179.9,1,"Tai cua hang",2,"Thursday","SP","Vat ly","65"
"10352","15885",198.9,3050,198.9,1,"Tai cua hang",4,"Monday","DF","Vat ly","83"
"10352","7413",233.35,3000,233.35,1,"Tai cua hang",4,"Monday","SP","Vat ly","66"
"10353","13302",108,1000,1296,12,"Tai cua hang",1,"Thursday","RS","Vat ly","13"
"10354","9285",85,1700,75,1,"Tai cua hang",1,"Sunday","SP","Vat ly","7"
"10355","15618",59.9,817,59.9,1,"Tai cua hang",3,"Thursday","PE","Vat ly","48"
"10356","19121",29.9,450,29.9,1,"Tai cua hang",2,"Sunday","BA","Vat ly","40"
"10357","11801",46.4,550,46.4,1,"Tai cua hang",2,"Sunday","BA","Vat ly","33"
"10358","8115",16.9,200,16.9,1,"Tai cua hang",1,"Saturday","SP","Vat ly","75"
"10358","8424",16.9,250,16.9,1,"Tai cua hang",1,"Saturday","SP","Vat ly","30"
"10359","7122",119.9,1150,119.9,1,"Tai cua hang",4,"Friday","DF","Vat ly","27"
"1036","7979",119.9,1750,109.9,1,"Tai cua hang",2,"Sunday","SP","Vat ly","62"
"10360","6427",118.99,143,118.99,1,"Tai cua hang",4,"Saturday","SP","Vat ly","22"
"10361","15174",199.95,525,220.01,1,"Tai cua hang",4,"Sunday","SP","Vat ly","4"
"10362","1793",27.9,50,29.99,1,"Tai cua hang",3,"Sunday","SC","Vat ly","69"
"10363","11257",49,250,49,1,"Tai cua hang",2,"Monday","SP","Vat ly","16"
"10364","1067",150,300,150,1,"Tai cua hang",4,"Friday","SP","Vat ly","58"
"10365","11026",332.4,375,314.9,1,"Truc tuyen",3,"Sunday","SP","Truc tuyen","OL_5"
"10366","6952",18,400,16,1,"Tai cua hang",1,"Saturday","SP","Vat ly","46"
"10367","18330",79.9,180,152.5,2,"Tai cua hang",1,"Sunday","BA","Vat ly","33"
"10368","10985",112,5900,105,1,"Tai cua hang",3,"Saturday","SP","Vat ly","38"
"10369","11112",149,2650,149,1,"Truc tuyen",3,"Friday","DF","Truc tuyen","OL_4"
"1037","11615",839.99,30000,839.99,1,"Truc tuyen",3,"Sunday","RJ","Truc tuyen","OL_15"
"10370","13206",17.75,850,18.75,1,"Tai cua hang",1,"Sunday","SP","Vat ly","100"
"10371","16611",60,1177,60,1,"Tai cua hang",2,"Wednesday","SP","Vat ly","58"
"10372","5112",57.4,650,57.4,1,"Tai cua hang",2,"Friday","SP","Vat ly","21"
"10373","7958",243.89,900,243.89,1,"Tai cua hang",4,"Wednesday","SP","Vat ly","30"
"10374","587",104.99,633,109.99,1,"Tai cua hang",2,"Saturday","SP","Vat ly","30"
"10375","14276",69.9,1300,79.9,1,"Truc tuyen",4,"Friday","SP","Truc tuyen","OL_28"
"10376","18313",359.9,3100,359.9,1,"Truc tuyen",1,"Tuesday","SC","Truc tuyen","OL_8"
"10377","10331",161.99,5000,161.99,1,"Truc tuyen",3,"Tuesday","SP","Truc tuyen","OL_28"
"10378","5037",129.99,1200,129.99,1,"Tai cua hang",1,"Monday","BA","Vat ly","40"
"10379","16859",277,363,278,1,"Tai cua hang",4,"Sunday","MG","Vat ly","84"
"1038","8169",92.9,1825,99.9,1,"Tai cua hang",3,"Monday","SP","Vat ly","17"
"10380","4825",144.9,8750,159.9,1,"Truc tuyen",4,"Friday","DF","Truc tuyen","OL_4"
"10381","12950",59.9,510,59.9,1,"Tai cua hang",3,"Thursday","RS","Vat ly","13"
"10382","12587",12.3,200,12.3,1,"Tai cua hang",2,"Saturday","SP","Vat ly","85"
"10383","5179",40.99,75,40.99,1,"Truc tuyen",1,"Saturday","SP","Truc tuyen","OL_28"
"10384","4386",53.9,1650,161.7,3,"Tai cua hang",2,"Tuesday","SP","Vat ly","38"
"10385","20133",314.9,8050,309.9,1,"Truc tuyen",3,"Saturday","SP","Truc tuyen","OL_28"
"10386","225",59,250,59,1,"Tai cua hang",2,"Sunday","GO","Vat ly","26"
"10387","363",69.77,100,69.77,1,"Tai cua hang",4,"Saturday","SP","Vat ly","30"
"10388","19267",21.99,300,21.99,1,"Tai cua hang",1,"Saturday","SP","Vat ly","16"
"10389","11121",169.9,5000,174.9,1,"Truc tuyen",1,"Wednesday","PR","Truc tuyen","OL_7"
"1039","7441",129.99,5250,139.99,1,"Tai cua hang",1,"Friday","MG","Vat ly","15"
"10390","13805",69.9,2600,69.9,1,"Tai cua hang",2,"Thursday","SP","Vat ly","16"
"10391","221",109.9,850,109.9,1,"Tai cua hang",4,"Saturday","RS","Vat ly","10"
"10392","15761",69,20850,69,1,"Tai cua hang",3,"Wednesday","SP","Vat ly","30"
"10392","5014",145,200,145,1,"Tai cua hang",3,"Wednesday","SP","Vat ly","17"
"10393","2660",269.1,1100,807.3,3,"Tai cua hang",1,"Sunday","SC","Vat ly","69"
"10394","11456",200,900,200,1,"Tai cua hang",4,"Tuesday","PA","Vat ly","23"
"10395","15115",45.65,200,45.65,1,"Tai cua hang",4,"Sunday","SP","Vat ly","58"
"10396","4386",53.9,1650,99.8,2,"Truc tuyen",1,"Tuesday","MG","Truc tuyen","OL_3"
"10397","6768",53.9,1500,49,1,"Truc tuyen",4,"Friday","MG","Truc tuyen","OL_3"
"10398","14412",94.5,1350,94.5,1,"Tai cua hang",2,"Friday","SP","Vat ly","58"
"10399","12848",49.9,150,49.9,1,"Truc tuyen",3,"Saturday","MG","Truc tuyen","OL_3"
"104","17891",62,450,62,1,"Tai cua hang",3,"Sunday","MG","Vat ly","20"
"1040","917",119.34,5400,119.34,1,"Tai cua hang",3,"Friday","GO","Vat ly","54"
"10400","3529",89.99,250,79.99,1,"Tai cua hang",1,"Saturday","SP","Vat ly","30"
"10401","10056",58.99,200,58.99,1,"Tai cua hang",4,"Saturday","SP","Vat ly","14"
"10402","4347",15.12,150,18.9,1,"Tai cua hang",1,"Sunday","SP","Vat ly","19"
"10403","9057",28,500,28,1,"Tai cua hang",3,"Sunday","SP","Vat ly","78"
"10404","143",199.75,9750,199.75,1,"Tai cua hang",2,"Monday","RJ","Vat ly","70"
"10405","8200",103.9,1250,103.9,1,"Truc tuyen",1,"Monday","DF","Truc tuyen","OL_4"
"10406","20127",57.39,950,57.39,1,"Tai cua hang",1,"Sunday","SP","Vat ly","80"
"10407","9139",159.9,1285,159.9,1,"Truc tuyen",2,"Tuesday","MG","Truc tuyen","OL_3"
"10408","5157",215,5700,215,1,"Tai cua hang",1,"Wednesday","MG","Vat ly","15"
"10409","18729",99.9,2600,99.9,1,"Tai cua hang",3,"Monday","RS","Vat ly","88"
"1041","16498",69.9,2300,69.9,1,"Truc tuyen",2,"Wednesday","SP","Truc tuyen","OL_28"
"10410","16560",69.9,2500,59.9,1,"Truc tuyen",2,"Tuesday","RS","Truc tuyen","OL_18"
"10411","1287",69.9,200,69.9,1,"Tai cua hang",3,"Monday","SP","Vat ly","5"
"10412","330",38,250,38,1,"Tai cua hang",3,"Saturday","SP","Vat ly","16"
"10413","2368",150,250,150,1,"Truc tuyen",1,"Sunday","SP","Truc tuyen","OL_27"
"10414","16891",18.75,850,18.75,1,"Tai cua hang",2,"Monday","RS","Vat ly","13"
"10414","9584",18.75,800,16.75,1,"Tai cua hang",2,"Monday","MG","Vat ly","84"
"10415","10710",230,310,230,1,"Tai cua hang",4,"Tuesday","SP","Vat ly","36"
"10416","1881",78.99,9400,79,1,"Tai cua hang",2,"Thursday","MG","Vat ly","96"
"10417","12349",195.9,1000,199.9,1,"Tai cua hang",1,"Wednesday","RJ","Vat ly","70"
"10418","7655",217,1350,217,1,"Tai cua hang",1,"Friday","SP","Vat ly","71"
"10419","12441",105.9,1225,105.9,1,"Truc tuyen",4,"Tuesday","RJ","Truc tuyen","OL_21"
"1042","8775",50,1500,40,1,"Tai cua hang",2,"Friday","SP","Vat ly","24"
"10420","6555",21.9,150,21.9,1,"Tai cua hang",1,"Wednesday","PR","Vat ly","28"
"10421","7460",89.89,353,179.78,2,"Tai cua hang",2,"Thursday","SP","Vat ly","12"
"10422","4582",53.9,1750,53.9,1,"Truc tuyen",1,"Sunday","SP","Truc tuyen","OL_28"
"10422","5370",53.9,1550,53.9,1,"Truc tuyen",1,"Sunday","SP","Truc tuyen","OL_28"
"10423","7082",39.9,1875,39.9,1,"Truc tuyen",3,"Monday","SP","Truc tuyen","OL_5"
"10424","484",44.99,350,39.99,1,"Tai cua hang",1,"Sunday","RJ","Vat ly","29"
"10425","13011",144.9,1950,139.9,1,"Truc tuyen",3,"Monday","CE","Truc tuyen","OL_9"
"10426","2149",49.9,444,49.9,1,"Tai cua hang",4,"Saturday","SP","Vat ly","77"
"10427","17048",22.9,600,45.8,2,"Tai cua hang",3,"Sunday","RS","Vat ly","13"
"10428","20036",82.72,1183,79.08,1,"Tai cua hang",3,"Friday","SP","Vat ly","22"
"10429","6138",62.7,4300,62.7,1,"Truc tuyen",1,"Thursday","SP","Truc tuyen","OL_28"
"1043","11572",37.39,750,42.9,1,"Tai cua hang",2,"Sunday","DF","Vat ly","31"
"10430","5164",66.99,350,64.99,1,"Tai cua hang",2,"Saturday","DF","Vat ly","31"
"10431","2344",16.9,300,16.9,1,"Tai cua hang",2,"Sunday","BA","Vat ly","50"
"10432","1292",99.9,1350,99.9,1,"Tai cua hang",3,"Saturday","MG","Vat ly","74"
"10433","6054",42.49,600,61.8,1,"Tai cua hang",1,"Saturday","BA","Vat ly","40"
"10434","9877",295,8050,295,1,"Tai cua hang",1,"Tuesday","SP","Vat ly","94"
"10435","11358",49.9,300,49.9,1,"Tai cua hang",1,"Sunday","SP","Vat ly","55"
"10436","14785",99.9,1250,104.99,1,"Tai cua hang",3,"Sunday","SP","Vat ly","19"
"10437","5119",84.89,321,94,1,"Truc tuyen",1,"Saturday","SC","Truc tuyen","OL_8"
"10438","226",77,167,77,1,"Tai cua hang",1,"Sunday","SP","Vat ly","38"
"10439","6444",148.5,468,144,1,"Tai cua hang",2,"Saturday","BA","Vat ly","40"
"1044","4342",85.5,1350,85.5,1,"Tai cua hang",1,"Monday","RS","Vat ly","10"
"10440","14269",120,350,120,1,"Tai cua hang",1,"Saturday","RJ","Vat ly","29"
"10441","14477",38.4,850,35,1,"Tai cua hang",3,"Saturday","DF","Vat ly","83"
"10442","14090",75.9,238,79.9,1,"Tai cua hang",3,"Monday","SP","Vat ly","14"
"10443","1459",57.99,1250,57.99,1,"Truc tuyen",3,"Friday","SP","Truc tuyen","OL_28"
"10444","7152",45,800,90,2,"Tai cua hang",4,"Friday","SP","Vat ly","56"
"10445","12954",29.99,600,29.99,1,"Tai cua hang",1,"Saturday","SP","Vat ly","58"
"10446","4285",199.7,1850,199.7,1,"Tai cua hang",3,"Monday","SP","Vat ly","30"
"10447","2312",189,300,189,1,"Truc tuyen",4,"Saturday","SP","Truc tuyen","OL_28"
"10448","16691",255,292,237,1,"Tai cua hang",4,"Sunday","RJ","Vat ly","63"
"10449","18229",55.2,10050,55.2,1,"Tai cua hang",3,"Thursday","SP","Vat ly","41"
"1045","15348",58.5,100,58.5,1,"Tai cua hang",1,"Tuesday","CE","Vat ly","97"
"10450","14157",59.9,213,50.2,1,"Tai cua hang",3,"Monday","SP","Vat ly","62"
"10451","1252",179.9,30000,169.9,1,"Truc tuyen",1,"Saturday","PA","Truc tuyen","OL_2"
"10452","5043",122.9,1800,125.9,1,"Tai cua hang",3,"Thursday","SP","Vat ly","5"
"10453","8030",24.9,150,24.9,1,"Tai cua hang",2,"Sunday","MG","Vat ly","96"
"10454","3911",113,5950,113,1,"Truc tuyen",1,"Friday","DF","Truc tuyen","OL_4"
"10455","6208",33.5,150,33.5,1,"Tai cua hang",1,"Sunday","SP","Vat ly","32"
"10456","3206",124.9,9800,124.9,1,"Tai cua hang",1,"Saturday","SP","Vat ly","6"
"10457","6054",42.49,600,42.49,1,"Tai cua hang",4,"Sunday","BA","Vat ly","40"
"10458","16255",45.49,293,45.49,1,"Tai cua hang",1,"Monday","SP","Vat ly","17"
"10459","17230",127,1850,127,1,"Tai cua hang",1,"Wednesday","RJ","Vat ly","39"
"1046","4927",58.9,5508,127.8,2,"Truc tuyen",1,"Monday","RJ","Truc tuyen","OL_21"
"10460","14586",104.9,600,104.9,1,"Tai cua hang",4,"Saturday","RJ","Vat ly","63"
"10461","3383",115,3500,110,1,"Truc tuyen",2,"Wednesday","SP","Truc tuyen","OL_28"
"10462","994",107.99,156,107.99,1,"Tai cua hang",4,"Thursday","SC","Vat ly","59"
"10463","3963",79.9,150,79.9,1,"Tai cua hang",2,"Saturday","PR","Vat ly","73"
"10464","7133",39,400,39,1,"Tai cua hang",4,"Sunday","SP","Vat ly","38"
"10465","2411",48.9,900,48.9,1,"Tai cua hang",2,"Sunday","MG","Vat ly","15"
